,dropshipping?,URL_query,Shopify,Cloudflare,cdnjs,jQuery CDN,Google Hosted Libraries,Unpkg,WordPress,WooCommerce,PHP,MySQL,Apache,jsDelivr,Elementor,Akamai,Salesforce Commerce Cloud,Salesforce,PrestaShop,Debian,Ruby on Rails,Ruby,Java,PageFly,Microsoft Ajax Content Delivery Network,Ubuntu,BigCommerce,Nginx,OpenResty,Next.js,Node.js
52,oui,https://waterpaw.fr,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,oui,https://mamiereglisse.com,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,oui,https://tippoboutique.fr,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,oui,https://izijardin.com,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,oui,https://temisi-store.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,oui,https://kaindly.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,oui,https://stranger-things-eshop.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,oui,https://kint-shopping.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,non,https://sterr24.de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,oui,https://shopzenite.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,oui,https://buddhastoneshop.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,oui,https://techwear-france.fr,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,oui,https://odditymall.com/,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,oui,https://untilgone.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
